Область,Год,Кол-во,Округ
Чукотский_автономный_округ,2017,17525,Дальневосточный_федеральный_округ
Чукотский_автономный_округ,2018,14387,Дальневосточный_федеральный_округ
Чукотский_автономный_округ,2019,27426,Дальневосточный_федеральный_округ
Чукотский_автономный_округ,2020,15582,Дальневосточный_федеральный_округ
Республика_Карелия,2013,227849,Северо-Западный_федеральный_округ
Республика_Карелия,2014,227977,Северо-Западный_федеральный_округ
Республика_Карелия,2015,363728,Северо-Западный_федеральный_округ
Республика_Карелия,2016,379400,Северо-Западный_федеральный_округ
Республика_Карелия,2017,375733,Северо-Западный_федеральный_округ
Республика_Карелия,2018,423362,Северо-Западный_федеральный_округ
Республика_Карелия,2019,435269,Северо-Западный_федеральный_округ
Республика_Карелия,2020,381268,Северо-Западный_федеральный_округ
Республика_Коми,2013,197646,Северо-Западный_федеральный_округ
Республика_Коми,2014,178117,Северо-Западный_федеральный_округ
Республика_Коми,2015,267678,Северо-Западный_федеральный_округ
Республика_Коми,2016,208080,Северо-Западный_федеральный_округ
Республика_Коми,2017,192978,Северо-Западный_федеральный_округ
Республика_Коми,2018,205996,Северо-Западный_федеральный_округ
Республика_Коми,2019,228144,Северо-Западный_федеральный_округ
Республика_Коми,2020,141619,Северо-Западный_федеральный_округ
Архангельская_область,2013,272495,Северо-Западный_федеральный_округ
Архангельская_область,2014,267464,Северо-Западный_федеральный_округ
Архангельская_область,2015,345218,Северо-Западный_федеральный_округ
Архангельская_область,2016,274946,Северо-Западный_федеральный_округ
Архангельская_область,2017,264861,Северо-Западный_федеральный_округ
Архангельская_область,2018,301721,Северо-Западный_федеральный_округ
Архангельская_область,2019,347028,Северо-Западный_федеральный_округ
Архангельская_область,2020,202365,Северо-Западный_федеральный_округ
Вологодская_область,2013,292970,Северо-Западный_федеральный_округ
Вологодская_область,2014,245110,Северо-Западный_федеральный_округ
Вологодская_область,2015,397641,Северо-Западный_федеральный_округ
Вологодская_область,2016,373975,Северо-Западный_федеральный_округ
Вологодская_область,2017,446296,Северо-Западный_федеральный_округ
Вологодская_область,2018,494268,Северо-Западный_федеральный_округ
Вологодская_область,2019,468083,Северо-Западный_федеральный_округ
Вологодская_область,2020,279338,Северо-Западный_федеральный_округ
Калининградская_область,2013,237906,Северо-Западный_федеральный_округ
Калининградская_область,2014,316951,Северо-Западный_федеральный_округ
Калининградская_область,2015,472314,Северо-Западный_федеральный_округ
Калининградская_область,2016,461203,Северо-Западный_федеральный_округ
Калининградская_область,2017,480654,Северо-Западный_федеральный_округ
