,Область,Округ,Год,Кол-во
202,        Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,01.07.2016,44204
203,        Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,01.07.2016,38602
204,        Республика Северная Осетия-Алания,Северо-Кавказский федеральный округ,01.07.2016,4957
205,        Чеченская Республика,Северо-Кавказский федеральный округ,01.07.2016,4054
206,        Ставропольский край,Северо-Кавказский федеральный округ,01.07.2016,228952
207,        Республика Башкортостан,Приволжский федеральный округ,01.07.2016,233236
208,        Республика Марий Эл,Приволжский федеральный округ,01.07.2016,48137
209,        Республика Мордовия,Приволжский федеральный округ,01.07.2016,22194
210,        Республика Татарстан (Татарстан),Приволжский федеральный округ,01.07.2016,494293
211,        Удмуртская Республика,Приволжский федеральный округ,01.07.2016,65086
212,        Чувашская Республика - Чувашия,Приволжский федеральный округ,01.07.2016,71363
213,        Пермский край,Приволжский федеральный округ,01.07.2016,166167
214,        Кировская область,Приволжский федеральный округ,01.07.2016,64479
215,        Нижегородская область,Приволжский федеральный округ,01.07.2016,357179
216,        Оренбургская область,Приволжский федеральный округ,01.07.2016,95852
217,        Пензенская область,Приволжский федеральный округ,01.07.2016,26558
218,        Самарская область,Приволжский федеральный округ,01.07.2016,123429
219,        Саратовская область,Приволжский федеральный округ,01.07.2016,151396
220,        Ульяновская область,Приволжский федеральный округ,01.07.2016,94980
221,        Курганская область,Уральский федеральный округ,01.07.2016,52991
222,        Свердловская область,Уральский федеральный округ,01.07.2016,357489
223,        Тюменская область,Уральский федеральный округ,01.07.2016,306845
224,        Челябинская область,Уральский федеральный округ,01.07.2016,293963
225,        Республика Алтай,Сибирский федеральный округ,01.07.2016,118748
226,        Республика Тыва,Сибирский федеральный округ,01.07.2016,6509
227,        Республика Хакасия,Сибирский федеральный округ,01.07.2016,25793
228,        Алтайский край,Сибирский федеральный округ,01.07.2016,218704
229,        Красноярский край,Сибирский федеральный округ,01.07.2016,172248
230,        Иркутская область,Сибирский федеральный округ,01.07.2016,248999
231,        Кемеровская область - Кузбасс,Сибирский федеральный округ,01.07.2016,110807
232,        Новосибирская область,Сибирский федеральный округ,01.07.2016,114948
233,        Омская область,Сибирский федеральный округ,01.07.2016,112486
234,        Томская область,Сибирский федеральный округ,01.07.2016,44516
235,        Республика Бурятия,Дальневосточный федеральный округ,01.07.2016,54014
236,        Забайкальский край,Дальневосточный федеральный округ,01.07.2016,40373
237,        Республика Саха (Якутия),Дальневосточный федеральный округ,01.07.2016,54639
238,        Камчатский край,Дальневосточный федеральный округ,01.07.2016,43370
239,        Приморский край,Дальневосточный федеральный округ,01.07.2016,356748
240,        Хабаровский край,Дальневосточный федеральный округ,01.07.2016,127132
241,        Амурская область,Дальневосточный федеральный округ,01.07.2016,47613
242,        Магаданская область,Дальневосточный федеральный округ,01.07.2016,22505
243,        Сахалинская область,Дальневосточный федеральный округ,01.07.2016,24076
244,        Еврейская автономная область,Дальневосточный федеральный округ,01.07.2016,6771
245,        Чукотский автономный округ,Дальневосточный федеральный округ,01.07.2016,2931
246,        Белгородская область,Центральный федеральный округ,01.10.2016,32664
247,        Брянская область,Центральный федеральный округ,01.10.2016,66221
248,        Владимирская область,Центральный федеральный округ,01.10.2016,127593
249,        Воронежская область,Центральный федеральный округ,01.10.2016,139865
250,        Ивановская область,Центральный федеральный округ,01.10.2016,54632
251,        Калужская область,Центральный федеральный округ,01.10.2016,104186
252,        Костромская область,Центральный федеральный округ,01.10.2016,31994
253,        Курская область,Центральный федеральный округ,01.10.2016,63020
254,        Липецкая область,Центральный федеральный округ,01.10.2016,15449
255,        Московская область,Центральный федеральный округ,01.10.2016,995359
256,        Орловская область,Центральный федеральный округ,01.10.2016,28409
257,        Рязанская область,Центральный федеральный округ,01.10.2016,59751
258,        Смоленская область,Центральный федеральный округ,01.10.2016,32901
259,        Тамбовская область,Центральный федеральный округ,01.10.2016,35725
260,        Тверская область,Центральный федеральный округ,01.10.2016,83001
261,        Тульская область,Центральный федеральный округ,01.10.2016,67302
262,        Ярославская область,Центральный федеральный округ,01.10.2016,187606
263,        Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,01.10.2016,1062250
264,        Республика Карелия,Северо-Западный федеральный округ,01.10.2016,99873
265,        Республика Коми,Северо-Западный федеральный округ,01.10.2016,71844
266,        Архангельская область,Северо-Западный федеральный округ,01.10.2016,78117
267,        Вологодская область,Северо-Западный федеральный округ,01.10.2016,113254
268,        Калининградская область,Северо-Западный федеральный округ,01.10.2016,51864
269,        Ленинградская область,Северо-Западный федеральный округ,01.10.2016,136328
270,        Мурманская область,Северо-Западный федеральный округ,01.10.2016,57271
271,        Новгородская область,Северо-Западный федеральный округ,01.10.2016,84488
272,        Псковская область,Северо-Западный федеральный округ,01.10.2016,77337
273,        Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,01.10.2016,465525
274,        Республика Адыгея (Адыгея),Южный федеральный округ,01.10.2016,1083
275,        Республика Калмыкия,Южный федеральный округ,01.10.2016,16288
276,        Республика Крым,Южный федеральный округ,01.10.2016,158996
277,        Краснодарский край,Южный федеральный округ,01.10.2016,1147066
278,        Астраханская область,Южный федеральный округ,01.10.2016,56567
279,        Волгоградская область,Южный федеральный округ,01.10.2016,92239
280,        Ростовская область,Южный федеральный округ,01.10.2016,112342
281,        Город федерального значения Севастополь,Южный федеральный округ,01.10.2016,16711
282,        Республика Дагестан,Северо-Кавказский федеральный округ,01.10.2016,26563
283,        Республика Ингушетия,Северо-Кавказский федеральный округ,01.10.2016,708
284,        Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,01.10.2016,25076
285,        Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,01.10.2016,43471
286,        Республика Северная Осетия-Алания,Северо-Кавказский федеральный округ,01.10.2016,3485
287,        Чеченская Республика,Северо-Кавказский федеральный округ,01.10.2016,4217
288,        Ставропольский край,Северо-Кавказский федеральный округ,01.10.2016,276668
289,        Республика Башкортостан,Приволжский федеральный округ,01.10.2016,211870
290,        Республика Марий Эл,Приволжский федеральный округ,01.10.2016,36388
291,        Республика Мордовия,Приволжский федеральный округ,01.10.2016,16020
292,        Республика Татарстан (Татарстан),Приволжский федеральный округ,01.10.2016,416107
293,        Удмуртская Республика,Приволжский федеральный округ,01.10.2016,64594
294,        Чувашская Республика - Чувашия,Приволжский федеральный округ,01.10.2016,67383
295,        Пермский край,Приволжский федеральный округ,01.10.2016,169845
296,        Кировская область,Приволжский федеральный округ,01.10.2016,69048
297,        Нижегородская область,Приволжский федеральный округ,01.10.2016,276573
298,        Оренбургская область,Приволжский федеральный округ,01.10.2016,109374
299,        Пензенская область,Приволжский федеральный округ,01.10.2016,31242
300,        Самарская область,Приволжский федеральный округ,01.10.2016,314213
301,        Саратовская область,Приволжский федеральный округ,01.10.2016,24168
302,        Ульяновская область,Приволжский федеральный округ,01.10.2016,53738
303,        Курганская область,Уральский федеральный округ,01.10.2016,28860
304,        Свердловская область,Уральский федеральный округ,01.10.2016,298985
305,        Тюменская область,Уральский федеральный округ,01.10.2016,319738
306,        Челябинская область,Уральский федеральный округ,01.10.2016,154058
307,        Республика Алтай,Сибирский федеральный округ,01.10.2016,49506
308,        Республика Тыва,Сибирский федеральный округ,01.10.2016,7371
309,        Республика Хакасия,Сибирский федеральный округ,01.10.2016,18016
310,        Алтайский край,Сибирский федеральный округ,01.10.2016,143982
311,        Красноярский край,Сибирский федеральный округ,01.10.2016,162370
