,Область,Округ,Год,Кол-во
295,        Пермский край,Приволжский федеральный округ,2016,642463.0
296,        Кировская область,Приволжский федеральный округ,2016,294479.0
297,        Нижегородская область,Приволжский федеральный округ,2016,942691.0
298,        Оренбургская область,Приволжский федеральный округ,2016,330197.0
299,        Пензенская область,Приволжский федеральный округ,2016,196050.0
300,        Самарская область,Приволжский федеральный округ,2016,662449.0
301,        Саратовская область,Приволжский федеральный округ,2016,327174.0
302,        Ульяновская область,Приволжский федеральный округ,2016,236821.0
303,        Курганская область,Уральский федеральный округ,2016,160322.0
304,        Свердловская область,Уральский федеральный округ,2016,1233451.0
305,        Тюменская область,Уральский федеральный округ,2016,1202008.0
306,        Челябинская область,Уральский федеральный округ,2016,786224.0
307,        Республика Алтай,Сибирский федеральный округ,2016,205684.0
308,        Республика Тыва,Сибирский федеральный округ,2016,30764.0
309,        Республика Хакасия,Сибирский федеральный округ,2016,97117.0
310,        Алтайский край,Сибирский федеральный округ,2016,590815.0
311,        Красноярский край,Сибирский федеральный округ,2016,646121.0
312,        Иркутская область,Сибирский федеральный округ,2016,597252.0
313,        Кемеровская область - Кузбасс,Сибирский федеральный округ,2016,429060.0
314,        Новосибирская область,Сибирский федеральный округ,2016,716153.0
315,        Омская область,Сибирский федеральный округ,2016,338313.0
316,        Томская область,Сибирский федеральный округ,2016,212906.0
317,        Республика Бурятия,Дальневосточный федеральный округ,2016,293846.0
318,        Забайкальский край,Дальневосточный федеральный округ,2016,190973.0
319,        Республика Саха (Якутия),Дальневосточный федеральный округ,2016,172717.0
320,        Камчатский край,Дальневосточный федеральный округ,2016,110376.0
321,        Приморский край,Дальневосточный федеральный округ,2016,647010.0
322,        Хабаровский край,Дальневосточный федеральный округ,2016,541830.0
323,        Амурская область,Дальневосточный федеральный округ,2016,280753.0
324,        Магаданская область,Дальневосточный федеральный округ,2016,70395.0
325,        Сахалинская область,Дальневосточный федеральный округ,2016,162501.0
326,        Еврейская автономная область,Дальневосточный федеральный округ,2016,29024.0
327,        Чукотский автономный округ,Дальневосточный федеральный округ,2016,12607.0
328,        Белгородская область,Центральный федеральный округ,2017,272193.0
329,        Брянская область,Центральный федеральный округ,2017,197869.0
330,        Владимирская область,Центральный федеральный округ,2017,521158.0
331,        Воронежская область,Центральный федеральный округ,2017,636841.0
332,        Ивановская область,Центральный федеральный округ,2017,244296.0
333,        Калужская область,Центральный федеральный округ,2017,504686.0
334,        Костромская область,Центральный федеральный округ,2017,264206.0
335,        Курская область,Центральный федеральный округ,2017,192472.0
336,        Липецкая область,Центральный федеральный округ,2017,190754.0
337,        Московская область,Центральный федеральный округ,2017,3184455.0
338,        Орловская область,Центральный федеральный округ,2017,110298.0
339,        Рязанская область,Центральный федеральный округ,2017,395807.0
340,        Смоленская область,Центральный федеральный округ,2017,210044.0
341,        Тамбовская область,Центральный федеральный округ,2017,170530.0
342,        Тверская область,Центральный федеральный округ,2017,517374.0
343,        Тульская область,Центральный федеральный округ,2017,336459.0
344,        Ярославская область,Центральный федеральный округ,2017,709543.0
345,        Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,2017,7611660.0
346,        Республика Карелия,Северо-Западный федеральный округ,2017,375733.0
347,        Республика Коми,Северо-Западный федеральный округ,2017,192978.0
348,        Архангельская область,Северо-Западный федеральный округ,2017,264861.0
349,        Вологодская область,Северо-Западный федеральный округ,2017,446296.0
350,        Калининградская область,Северо-Западный федеральный округ,2017,480654.0
351,        Ленинградская область,Северо-Западный федеральный округ,2017,682257.0
352,        Мурманская область,Северо-Западный федеральный округ,2017,266049.0
353,        Новгородская область,Северо-Западный федеральный округ,2017,279157.0
354,        Псковская область,Северо-Западный федеральный округ,2017,346777.0
355,        Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,2017,3576994.0
356,        Республика Адыгея (Адыгея),Южный федеральный округ,2017,107356.0
357,        Республика Калмыкия,Южный федеральный округ,2017,33816.0
358,        Республика Крым,Южный федеральный округ,2017,1528210.0
359,        Краснодарский край,Южный федеральный округ,2017,6451412.0
360,        Астраханская область,Южный федеральный округ,2017,251689.0
361,        Волгоградская область,Южный федеральный округ,2017,590387.0
362,        Ростовская область,Южный федеральный округ,2017,1023404.0
363,        Город федерального значения Севастополь,Южный федеральный округ,2017,174043.0
364,        Республика Дагестан,Северо-Кавказский федеральный округ,2017,113574.0
365,        Республика Ингушетия,Северо-Кавказский федеральный округ,2017,7025.0
366,        Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,2017,117359.0
367,        Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,2017,99077.0
368,        Республика Северная Осетия-Алания,Северо-Кавказский федеральный округ,2017,51269.0
369,        Чеченская Республика,Северо-Кавказский федеральный округ,2017,46914.0
370,        Ставропольский край,Северо-Кавказский федеральный округ,2017,957362.0
371,        Республика Башкортостан,Приволжский федеральный округ,2017,1087550.0
372,        Республика Марий Эл,Приволжский федеральный округ,2017,125068.0
373,        Республика Мордовия,Приволжский федеральный округ,2017,113743.0
374,        Республика Татарстан (Татарстан),Приволжский федеральный округ,2017,2007077.0
375,        Удмуртская Республика,Приволжский федеральный округ,2017,280184.0
376,        Чувашская Республика - Чувашия,Приволжский федеральный округ,2017,274941.0
377,        Пермский край,Приволжский федеральный округ,2017,637322.0
378,        Кировская область,Приволжский федеральный округ,2017,280497.0
379,        Нижегородская область,Приволжский федеральный округ,2017,1026716.0
380,        Оренбургская область,Приволжский федеральный округ,2017,358875.0
381,        Пензенская область,Приволжский федеральный округ,2017,209347.0
382,        Самарская область,Приволжский федеральный округ,2017,840160.0
383,        Саратовская область,Приволжский федеральный округ,2017,427594.0
384,        Ульяновская область,Приволжский федеральный округ,2017,306258.0
385,        Курганская область,Уральский федеральный округ,2017,137593.0
386,        Свердловская область,Уральский федеральный округ,2017,1241309.0
387,        Тюменская область,Уральский федеральный округ,2017,1359769.0
388,        Челябинская область,Уральский федеральный округ,2017,900578.0
389,        Республика Алтай,Сибирский федеральный округ,2017,161996.0
390,        Республика Тыва,Сибирский федеральный округ,2017,34919.0
391,        Республика Хакасия,Сибирский федеральный округ,2017,110909.0
392,        Алтайский край,Сибирский федеральный округ,2017,674794.0
393,        Красноярский край,Сибирский федеральный округ,2017,611077.0
394,        Иркутская область,Сибирский федеральный округ,2017,631240.0
395,        Кемеровская область - Кузбасс,Сибирский федеральный округ,2017,540580.0
396,        Новосибирская область,Сибирский федеральный округ,2017,822552.0
397,        Омская область,Сибирский федеральный округ,2017,492668.0
398,        Томская область,Сибирский федеральный округ,2017,211785.0
399,        Республика Бурятия,Дальневосточный федеральный округ,2017,344831.0
400,        Забайкальский край,Дальневосточный федеральный округ,2017,196331.0
401,        Республика Саха (Якутия),Дальневосточный федеральный округ,2017,185919.0
402,        Камчатский край,Дальневосточный федеральный округ,2017,137475.0
403,        Приморский край,Дальневосточный федеральный округ,2017,807779.0
404,        Хабаровский край,Дальневосточный федеральный округ,2017,537008.0
405,        Амурская область,Дальневосточный федеральный округ,2017,329522.0
406,        Магаданская область,Дальневосточный федеральный округ,2017,61591.0
407,        Сахалинская область,Дальневосточный федеральный округ,2017,246123.0
408,        Еврейская автономная область,Дальневосточный федеральный округ,2017,27862.0
409,        Чукотский автономный округ,Дальневосточный федеральный округ,2017,17525.0
410,        Белгородская область,Центральный федеральный округ,2018,301418.0
411,        Брянская область,Центральный федеральный округ,2018,223783.0
412,        Владимирская область,Центральный федеральный округ,2018,543317.0
413,        Воронежская область,Центральный федеральный округ,2018,647330.0
414,        Ивановская область,Центральный федеральный округ,2018,244175.0
415,        Калужская область,Центральный федеральный округ,2018,605580.0
416,        Костромская область,Центральный федеральный округ,2018,282822.0
417,        Курская область,Центральный федеральный округ,2018,186803.0
418,        Липецкая область,Центральный федеральный округ,2018,222811.0
419,        Московская область,Центральный федеральный округ,2018,3743773.0
420,        Орловская область,Центральный федеральный округ,2018,122994.0
421,        Рязанская область,Центральный федеральный округ,2018,349016.0
422,        Смоленская область,Центральный федеральный округ,2018,210398.0
423,        Тамбовская область,Центральный федеральный округ,2018,191705.0
424,        Тверская область,Центральный федеральный округ,2018,531483.0
425,        Тульская область,Центральный федеральный округ,2018,400520.0
426,        Ярославская область,Центральный федеральный округ,2018,716852.0
427,        Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,2018,9682050.0
428,        Республика Карелия,Северо-Западный федеральный округ,2018,423362.0
429,        Республика Коми,Северо-Западный федеральный округ,2018,205996.0
430,        Архангельская область,Северо-Западный федеральный округ,2018,301721.0
431,        Вологодская область,Северо-Западный федеральный округ,2018,494268.0
432,        Калининградская область,Северо-Западный федеральный округ,2018,542617.0
433,        Ленинградская область,Северо-Западный федеральный округ,2018,984720.0
434,        Мурманская область,Северо-Западный федеральный округ,2018,261983.0
435,        Новгородская область,Северо-Западный федеральный округ,2018,296426.0
436,        Псковская область,Северо-Западный федеральный округ,2018,340843.0
437,        Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,2018,3897736.0
